house_type,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status,numBedroom,house_layout,house_size_in_sqft,price_approx_usd
Independent Floor ,Golf Links,Delhi,28.59763908,77.23332977,310120,INR,3.0,2.0,Not Negotiable,1.2,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south golf links it is the super location road bank ATM school college all r on walking distance," 18,10,101",Unfurnished,3,BHK,3011.0,3616.14
Independent Floor ,Golf Links,Delhi,28.59763908,77.23332977,401012,INR,3.0,2.0,Not Negotiable,1.64,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south golf links it is the super location of Delhi south road bank ATM school college all r on walking distance," 18,10,202",Unfurnished,3,BHK,2856.0,4675.98
Independent Floor ,Golf Links,Delhi,28.59763908,77.23332977,301012,INR,4.0,2.0,Not Negotiable,0.54,Posted 6 months ago,"It has a built-up area of 6521 sqft and is available for rent at Rs. 3.01 lac per month . The house is unfurnished. It is located on the 3rd floor(out of a total of 4 floor(s)). It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. "," 18,18,101",Unfurnished,5,BHK,6521.0,3509.93
Independent Floor ,Golf Links,Delhi,28.59763908,77.23332977,301012,INR,4.0,2.0,Not Negotiable,0.54,Posted 6 months ago,"It is an unfurnished property. It is facing east direction. The property has 4 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. "," 18,18,822",Unfurnished,5,BHK,6521.0,3509.93
Independent Floor ,Golf Links,Delhi,28.59763908,77.23332977,301101,INR,4.0,2.0,Not Negotiable,0.54,Posted 6 months ago,It has area of 6521 sqft and is available at a rent of Rs. 3.01 lac. It is an unfurnished property. It is located on the 3rd floor(out of a total of 4 floor(s)). It is facing east direction. It has 4 bathrooms and 2 balconies. Please contact us for more details. ," 10,11,010",Unfurnished,5,BHK,6521.0,3510.97
Independent Floor ,Golf Links,Delhi,28.59763908,77.23332977,301012,INR,4.0,2.0,Not Negotiable,0.6,Posted 6 months ago,Itâs a 4 bhk builder floor situated in Golf Links. The house is unfurnished. It is located on the 2nd floor(out of a total of 4 floor(s)). Its main door is facing east direction. It is made in way to provide a comfortable living. ," 11,82,885",Unfurnished,4,BHK,5896.0,3509.93
Apartment ,IP Extension,Delhi,28.62976646,77.30672455,18000,INR,1.0,1.0,Not Negotiable,0.25,Posted a year ago,"A 2 bhk property is available for rent in IP Extension, Delhi. It has a built-up area of 850 sqft and is available for rent at Rs. 18,000 per month . It is a semi-furnished property. It is on 1st floor. The building has a total of 4 floor(s). It is facing east direction. The property has 1 bathroom and 1 balcony. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. "," 36,000",Semi-Furnished,2,BHK,850.0,209.89
Apartment ,i p extension patparganj,Delhi,28.62952423,77.31233978,27000,INR,2.0,1.0,Negotiable,0.24,Posted a year ago,"It has a built-up area of 1300 sqft and is available for rent at Rs. 27,000 per month (negotiable). It is located on the 1st floor(out of a total of 3 floor(s)). It has 2 bathrooms and 1 balcony. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. "," 54,000",Semi-Furnished,3,BHK,1300.0,314.83
Independent Floor ,East of Kailash,Delhi,28.55871391,77.25095367,55000,INR,3.0,2.0,Not Negotiable,0.36,Posted 5 months ago,It is independent Builder floor it is located in south Delhi east of kailash it is three bedrooms attached washrooms gated community society first floor with lift," 1,10,000",Semi-Furnished,3,BHK,1800.0,641.32
Independent Floor ,East of Kailash,Delhi,28.55871391,77.25095367,55000,INR,3.0,1.0,Not Negotiable,0.36,Posted 5 months ago,It is independent Builder floor it is located in south Delhi east of kailash it is three bedrooms attached washrooms gated community society first floor with lift," 1,10,000",Semi-Furnished,3,BHK,1800.0,641.32
Independent Floor ,Kailash Colony,Delhi,28.55335999,77.24266815,55000,INR,2.0,2.0,Not Negotiable,0.43,Posted 5 months ago,"Itâs a 2 bhk builder floor situated in Kailash Colony, Delhi. It has a built-up area of 1500 sqft and is available for rent at Rs. 55,000 per month . The house is furnished. It is located on the 1st floor(out of a total of 3 floor(s)). It is east facing property. It has 2 bathrooms and 2 balconies. It is made in way to provide a comfortable living for the residents. Kindly call us for details. "," 1,10,000",Furnished,2,BHK,1500.0,641.32
Independent Floor ,Prakash Mohalla,Delhi,28.55707932,77.25003815,12000,INR,2.0,2.0,Not Negotiable,0.2,Posted 5 months ago,It is independent builder floor it is located in south Delhi prakash mohala Dutta chowk near it is two bedrooms attached washrooms it is marble flooring flat," 12,000",Unfurnished,2,BHK,700.0,139.93
